,time,open,high,low,close,tick_volume,spread,real_volume
30621,2018-03-16 12:00:00,105.713,105.739,105.664,105.669,3803,1,0
30622,2018-03-16 13:00:00,105.67,105.677,105.601,105.624,4353,1,0
30623,2018-03-16 14:00:00,105.624,105.802,105.612,105.796,5648,1,0
30624,2018-03-16 15:00:00,105.797,106.076,105.747,106.051,9147,1,0
30625,2018-03-16 16:00:00,106.051,106.155,106.025,106.154,9217,1,0
30626,2018-03-16 17:00:00,106.155,106.234,106.056,106.084,7770,1,0
30627,2018-03-16 18:00:00,106.085,106.143,106.062,106.109,5179,1,0
30628,2018-03-16 19:00:00,106.11,106.176,106.07,106.087,3045,1,0
30629,2018-03-16 20:00:00,106.091,106.127,106.047,106.082,2443,1,0
30630,2018-03-16 21:00:00,106.082,106.104,106.029,106.04,2482,1,0
30631,2018-03-16 22:00:00,106.039,106.084,105.963,105.983,2392,1,0
30632,2018-03-19 00:00:00,105.96,106.035,105.926,105.974,2100,1,0
30633,2018-03-19 01:00:00,105.973,106.007,105.906,105.956,2745,1,0
30634,2018-03-19 02:00:00,105.961,106.15,105.873,105.91,9734,1,0
30635,2018-03-19 03:00:00,105.91,105.936,105.743,105.811,9215,1,0
30636,2018-03-19 04:00:00,105.811,105.893,105.791,105.815,4369,1,0
30637,2018-03-19 05:00:00,105.816,105.86,105.8,105.813,2758,1,0
30638,2018-03-19 06:00:00,105.812,105.825,105.689,105.709,3679,1,0
30639,2018-03-19 07:00:00,105.708,105.782,105.676,105.741,4182,1,0
30640,2018-03-19 08:00:00,105.741,105.791,105.679,105.742,3169,1,0
30641,2018-03-19 09:00:00,105.743,105.914,105.693,105.901,6375,1,0
30642,2018-03-19 10:00:00,105.9,105.935,105.815,105.907,6906,1,0
30643,2018-03-19 11:00:00,105.907,106.013,105.891,105.996,5289,1,0
30644,2018-03-19 12:00:00,105.995,106.169,105.988,106.15,5763,1,0
30645,2018-03-19 13:00:00,106.151,106.211,106.084,106.192,4687,1,0
30646,2018-03-19 14:00:00,106.193,106.306,106.182,106.197,9687,1,0
30647,2018-03-19 15:00:00,106.196,106.22,106.054,106.095,7169,1,0
30648,2018-03-19 16:00:00,106.094,106.213,106.018,106.042,6809,1,0
30649,2018-03-19 17:00:00,106.041,106.129,105.817,105.832,8889,1,0
30650,2018-03-19 18:00:00,105.833,105.937,105.782,105.896,8263,1,0
30651,2018-03-19 19:00:00,105.895,105.895,105.788,105.885,6306,1,0
30652,2018-03-19 20:00:00,105.884,106.041,105.832,105.951,6228,1,0
30653,2018-03-19 21:00:00,105.95,106.144,105.92,106.116,7656,1,0
30654,2018-03-19 22:00:00,106.117,106.159,106.064,106.091,1790,1,0
30655,2018-03-19 23:00:00,106.088,106.09,105.979,106.026,7508,2,0
30656,2018-03-20 00:00:00,106.026,106.077,106.018,106.04,4219,2,0
30657,2018-03-20 01:00:00,106.04,106.054,105.927,106.015,2681,1,0
